scarcity_level,condition,n_real,n_synthetic,n_total_train,f1_macro,f1_substantive,f1_symbolic,precision_macro,recall_macro,accuracy,f1_improvement_over_real
50,real_only,50,0,50,0.5404344323881598,0.7406199021207178,0.34024896265560167,0.6839191738655546,0.5825423351158645,0.6276346604215457,0.0
50,augmented,50,50,100,0.448532044396706,0.6564625850340136,0.24060150375939848,0.47983049614433293,0.48764483065953657,0.5269320843091335,-0.09190238799145378
100,real_only,100,0,100,0.6049550497993352,0.7529812606473595,0.45692883895131087,0.6996938040345821,0.6235182709447415,0.6604215456674473,0.0
100,augmented,100,100,200,0.44772941053511706,0.6688963210702341,0.2265625,0.48947453647477934,0.4942067736185384,0.5362997658079626,-0.15722563926421818
200,real_only,200,0,200,0.6434248706842172,0.7486437613019892,0.5382059800664452,0.6859340844123087,0.6478275401069519,0.6744730679156908,0.0
200,augmented,200,200,400,0.5212544446935964,0.7028862478777589,0.33962264150943394,0.5850231430460657,0.5515708556149733,0.5901639344262295,-0.12217042599062078
500,real_only,500,0,500,0.640378655167767,0.6951219512195121,0.585635359116022,0.6421428571428571,0.6396724598930481,0.6487119437939111,0.0
500,augmented,500,500,1000,0.5921532125105704,0.7201426024955436,0.4641638225255973,0.6353964615294186,0.6026515151515152,0.6323185011709602,-0.04822544265719664
