scarcity_level,condition,n_real,n_synthetic,n_total_train,f1_macro,f1_substantive,f1_symbolic,precision_macro,recall_macro,accuracy,f1_improvement_over_real
50,real_only,50,0,50,0.5404344323881598,0.7406199021207178,0.34024896265560167,0.6839191738655546,0.5825423351158645,0.6276346604215457,0.0
50,augmented,50,50,100,0.4393359227305538,0.691437802907916,0.18723404255319148,0.5114885664028144,0.504656862745098,0.5526932084309133,-0.10109850965760603
100,real_only,100,0,100,0.6049550497993352,0.7529812606473595,0.45692883895131087,0.6996938040345821,0.6235182709447415,0.6604215456674473,0.0
100,augmented,100,100,200,0.48379358579177556,0.6723842195540308,0.2952029520295203,0.5238095238095237,0.5152852049910873,0.5526932084309133,-0.12116146400755967
200,real_only,200,0,200,0.6434248706842172,0.7486437613019892,0.5382059800664452,0.6859340844123087,0.6478275401069519,0.6744730679156908,0.0
200,augmented,200,200,400,0.528257432873719,0.6785079928952042,0.37800687285223367,0.5600887115979996,0.5449754901960784,0.5761124121779859,-0.11516743781049821
500,real_only,500,0,500,0.640378655167767,0.6951219512195121,0.585635359116022,0.6421428571428571,0.6396724598930481,0.6487119437939111,0.0
500,augmented,500,500,1000,0.5890606759488625,0.6679764243614931,0.5101449275362319,0.594466142769752,0.5894607843137255,0.6042154566744731,-0.051317979218904575
